#-----------------------------------------------------------
# xsim v2019.1 (64-bit)
# SW Build 2552052 on Fri May 24 14:49:42 MDT 2019
# IP Build 2548770 on Fri May 24 18:01:18 MDT 2019
# Start of session at: Mon Oct  3 21:56:34 2022
# Process ID: 86964
# Current directory: C:/Users/faste/Desktop/AMBA AXI/codes.practice/axi_stream_tea/sim.bmp/xsim
# Command line: xsim.exe -mode tcl -source {xsim.dir/top/xsim_script.tcl}
# Log file: C:/Users/faste/Desktop/AMBA AXI/codes.practice/axi_stream_tea/sim.bmp/xsim/xsim.log
# Journal file: C:/Users/faste/Desktop/AMBA AXI/codes.practice/axi_stream_tea/sim.bmp/xsim\xsim.jou
#-----------------------------------------------------------
source xsim.dir/top/xsim_script.tcl
# xsim {top} -autoloadwcfg -tclbatch {xsim_run.tcl}
Vivado Simulator 2019.1
Time resolution is 1 ns
source xsim_run.tcl
## run all
bmp_file_header:42:4d:36:84:03:00:00:00:00:00:36:00:00:00
bmp_img_header:28:00:00:00:40:01:00:00:f0:00:00:00:01:00:18:00:00:00:00:00:00:84:03:00:c4:0e:00:00:c4:0e:00:00:00:00:00:00:00:00:00:00
bfOffBits  =          54 offset ot bitmap data
biWidth    =         320 image width          
biHeight   =         240 image heigh          
biBitCount =          24 num of bits per pixel
biSizeImage=      230400 size of image data   
6210 OK:   48   decryption after encryption check
6230 OK:   49   decryption after encryption check
6250 OK:   50   decryption after encryption check
6270 OK:   51   decryption after encryption check
6290 OK:   52   decryption after encryption check
6310 OK:   53   decryption after encryption check
6330 OK:   54   decryption after encryption check
6350 OK:   55   decryption after encryption check
6370 OK:   56   decryption after encryption check
6390 OK:   57   decryption after encryption check
6410 OK:   58   decryption after encryption check
6430 OK:   59   decryption after encryption check
6450 OK:   60   decryption after encryption check
6470 OK:   61   decryption after encryption check
6490 OK:   62   decryption after encryption check
6510 OK:   63   decryption after encryption check
6530 OK:   64   decryption after encryption check
6550 OK:   65   decryption after encryption check
6570 OK:   66   decryption after encryption check
6590 OK:   67   decryption after encryption check
6610 OK:   68   decryption after encryption check
6630 OK:   69   decryption after encryption check
6650 OK:   70   decryption after encryption check
6670 OK:   71   decryption after encryption check
6690 OK:   72   decryption after encryption check
6710 OK:   73   decryption after encryption check
6730 OK:   74   decryption after encryption check
6750 OK:   75   decryption after encryption check
6770 OK:   76   decryption after encryption check
6790 OK:   77   decryption after encryption check
6810 OK:   78   decryption after encryption check
6830 OK:   79   decryption after encryption check
6850 OK:   80   decryption after encryption check
6870 OK:   81   decryption after encryption check
6890 OK:   82   decryption after encryption check
6910 OK:   83   decryption after encryption check
6930 OK:   84   decryption after encryption check
6950 OK:   85   decryption after encryption check
6970 OK:   86   decryption after encryption check
6990 OK:   87   decryption after encryption check
7010 OK:   88   decryption after encryption check
7030 OK:   89   decryption after encryption check
7050 OK:   90   decryption after encryption check
7070 OK:   91   decryption after encryption check
7090 OK:   92   decryption after encryption check
7110 OK:   93   decryption after encryption check
7130 OK:   94   decryption after encryption check
7150 OK:   95   decryption after encryption check
7170 OK:   96   decryption after encryption check
7190 OK:   97   decryption after encryption check
7210 OK:   98   decryption after encryption check
7230 OK:   99   decryption after encryption check
7250 OK:  100   decryption after encryption check
7270 OK:  101   decryption after encryption check
7290 OK:  102   decryption after encryption check
7310 OK:  103   decryption after encryption check
7330 OK:  104   decryption after encryption check
7350 OK:  105   decryption after encryption check
7370 OK:  106   decryption after encryption check
7390 OK:  107   decryption after encryption check
7410 OK:  108   decryption after encryption check
7430 OK:  109   decryption after encryption check
7450 OK:  110   decryption after encryption check
7470 OK:  111   decryption after encryption check
7490 OK:  112   decryption after encryption check
7510 OK:  113   decryption after encryption check
7530 OK:  114   decryption after encryption check
7550 OK:  115   decryption after encryption check
7570 OK:  116   decryption after encryption check
7590 OK:  117   decryption after encryption check
7610 OK:  118   decryption after encryption check
7630 OK:  119   decryption after encryption check
7650 OK:  120   decryption after encryption check
7670 OK:  121   decryption after encryption check
7690 OK:  122   decryption after encryption check
7710 OK:  123   decryption after encryption check
7730 OK:  124   decryption after encryption check
7750 OK:  125   decryption after encryption check
7770 OK:  126   decryption after encryption check
7790 OK:  127   decryption after encryption check
7810 OK:    0   decryption after encryption check
7830 OK:    1   decryption after encryption check
7850 OK:    2   decryption after encryption check
7870 OK:    3   decryption after encryption check
7890 OK:    4   decryption after encryption check
7910 OK:    5   decryption after encryption check
7930 OK:    6   decryption after encryption check
7950 OK:    7   decryption after encryption check
7970 OK:    8   decryption after encryption check
7990 OK:    9   decryption after encryption check
8010 OK:   10   decryption after encryption check
8030 OK:   11   decryption after encryption check
8050 OK:   12   decryption after encryption check
8070 OK:   13   decryption after encryption check
8090 OK:   14   decryption after encryption check
8110 OK:   15   decryption after encryption check
8130 OK:   16   decryption after encryption check
8150 OK:   17   decryption after encryption check
8170 OK:   18   decryption after encryption check
8190 OK:   19   decryption after encryption check
8210 OK:   20   decryption after encryption check
8230 OK:   21   decryption after encryption check
8250 OK:   22   decryption after encryption check
8270 OK:   23   decryption after encryption check
8290 OK:   24   decryption after encryption check
8310 OK:   25   decryption after encryption check
8330 OK:   26   decryption after encryption check
8350 OK:   27   decryption after encryption check
8370 OK:   28   decryption after encryption check
8390 OK:   29   decryption after encryption check
8410 OK:   30   decryption after encryption check
8430 OK:   31   decryption after encryption check
8450 OK:   32   decryption after encryption check
8470 OK:   33   decryption after encryption check
8490 OK:   34   decryption after encryption check
8510 OK:   35   decryption after encryption check
8530 OK:   36   decryption after encryption check
8550 OK:   37   decryption after encryption check
8570 OK:   38   decryption after encryption check
8590 OK:   39   decryption after encryption check
8610 OK:   40   decryption after encryption check
8630 OK:   41   decryption after encryption check
8650 OK:   42   decryption after encryption check
8670 OK:   43   decryption after encryption check
8690 OK:   44   decryption after encryption check
8710 OK:   45   decryption after encryption check
8730 OK:   46   decryption after encryption check
8750 OK:   47   decryption after encryption check
8770 OK:   48   decryption after encryption check
8790 OK:   49   decryption after encryption check
8810 OK:   50   decryption after encryption check
8830 OK:   51   decryption after encryption check
8850 OK:   52   decryption after encryption check
8870 OK:   53   decryption after encryption check
8890 OK:   54   decryption after encryption check
8910 OK:   55   decryption after encryption check
8930 OK:   56   decryption after encryption check
8950 OK:   57   decryption after encryption check
8970 OK:   58   decryption after encryption check
8990 OK:   59   decryption after encryption check
9010 OK:   60   decryption after encryption check
9030 OK:   61   decryption after encryption check
9050 OK:   62   decryption after encryption check
9070 OK:   63   decryption after encryption check
9090 OK:   64   decryption after encryption check
9110 OK:   65   decryption after encryption check
9130 OK:   66   decryption after encryption check
9150 OK:   67   decryption after encryption check
9170 OK:   68   decryption after encryption check
9190 OK:   69   decryption after encryption check
9210 OK:   70   decryption after encryption check
9230 OK:   71   decryption after encryption check
9250 OK:   72   decryption after encryption check
9270 OK:   73   decryption after encryption check
9290 OK:   74   decryption after encryption check
9310 OK:   75   decryption after encryption check
9330 OK:   76   decryption after encryption check
9350 OK:   77   decryption after encryption check
9370 OK:   78   decryption after encryption check
9390 OK:   79   decryption after encryption check
9410 OK:   80   decryption after encryption check
9430 OK:   81   decryption after encryption check
9450 OK:   82   decryption after encryption check
9470 OK:   83   decryption after encryption check
9490 OK:   84   decryption after encryption check
9510 OK:   85   decryption after encryption check
9530 OK:   86   decryption after encryption check
9550 OK:   87   decryption after encryption check
9570 OK:   88   decryption after encryption check
9590 OK:   89   decryption after encryption check
9610 OK:   90   decryption after encryption check
9630 OK:   91   decryption after encryption check
9650 OK:   92   decryption after encryption check
9670 OK:   93   decryption after encryption check
9690 OK:   94   decryption after encryption check
9710 OK:   95   decryption after encryption check
9730 OK:   96   decryption after encryption check
9750 OK:   97   decryption after encryption check
9770 OK:   98   decryption after encryption check
9790 OK:   99   decryption after encryption check
9810 OK:  100   decryption after encryption check
9830 OK:  101   decryption after encryption check
9850 OK:  102   decryption after encryption check
9870 OK:  103   decryption after encryption check
9890 OK:  104   decryption after encryption check
9910 OK:  105   decryption after encryption check
9930 OK:  106   decryption after encryption check
9950 OK:  107   decryption after encryption check
9970 OK:  108   decryption after encryption check
9990 OK:  109   decryption after encryption check
10010 OK:  110   decryption after encryption check
10030 OK:  111   decryption after encryption check
10050 OK:  112   decryption after encryption check
10070 OK:  113   decryption after encryption check
10090 OK:  114   decryption after encryption check
10110 OK:  115   decryption after encryption check
10130 OK:  116   decryption after encryption check
10150 OK:  117   decryption after encryption check
10170 OK:  118   decryption after encryption check
10190 OK:  119   decryption after encryption check
10210 OK:  120   decryption after encryption check
10230 OK:  121   decryption after encryption check
10250 OK:  122   decryption after encryption check
10270 OK:  123   decryption after encryption check
10290 OK:  124   decryption after encryption check
10310 OK:  125   decryption after encryption check
10330 OK:  126   decryption after encryption check
10350 OK:  127   decryption after encryption check
10370 OK:    0   decryption after encryption check
10390 OK:    1   decryption after encryption check
10410 OK:    2   decryption after encryption check
10430 OK:    3   decryption after encryption check
10450 OK:    4   decryption after encryption check
10470 OK:    5   decryption after encryption check
10490 OK:    6   decryption after encryption check
10510 OK:    7   decryption after encryption check
10530 OK:    8   decryption after encryption check
10550 OK:    9   decryption after encryption check
10570 OK:   10   decryption after encryption check
10590 OK:   11   decryption after encryption check
10610 OK:   12   decryption after encryption check
10630 OK:   13   decryption after encryption check
10650 OK:   14   decryption after encryption check
10670 OK:   15   decryption after encryption check
10690 OK:   16   decryption after encryption check
10710 OK:   17   decryption after encryption check
10730 OK:   18   decryption after encryption check
10750 OK:   19   decryption after encryption check
10770 OK:   20   decryption after encryption check
10790 OK:   21   decryption after encryption check
10810 OK:   22   decryption after encryption check
10830 OK:   23   decryption after encryption check
10850 OK:   24   decryption after encryption check
10870 OK:   25   decryption after encryption check
10890 OK:   26   decryption after encryption check
10910 OK:   27   decryption after encryption check
10930 OK:   28   decryption after encryption check
10950 OK:   29   decryption after encryption check
10970 OK:   30   decryption after encryption check
10990 OK:   31   decryption after encryption check
11010 OK:   32   decryption after encryption check
11030 OK:   33   decryption after encryption check
11050 OK:   34   decryption after encryption check
11070 OK:   35   decryption after encryption check
11090 OK:   36   decryption after encryption check
11110 OK:   37   decryption after encryption check
11130 OK:   38   decryption after encryption check
11150 OK:   39   decryption after encryption check
11170 OK:   40   decryption after encryption check
11190 OK:   41   decryption after encryption check
11210 OK:   42   decryption after encryption check
11230 OK:   43   decryption after encryption check
11250 OK:   44   decryption after encryption check
11270 OK:   45   decryption after encryption check
11290 OK:   46   decryption after encryption check
11310 OK:   47   decryption after encryption check
11330 OK:   48   decryption after encryption check
11350 OK:   49   decryption after encryption check
11370 OK:   50   decryption after encryption check
11390 OK:   51   decryption after encryption check
11410 OK:   52   decryption after encryption check
11430 OK:   53   decryption after encryption check
11450 OK:   54   decryption after encryption check
11470 OK:   55   decryption after encryption check
11490 OK:   56   decryption after encryption check
11510 OK:   57   decryption after encryption check
11530 OK:   58   decryption after encryption check
11550 OK:   59   decryption after encryption check
11570 OK:   60   decryption after encryption check
11590 OK:   61   decryption after encryption check
11610 OK:   62   decryption after encryption check
11630 OK:   63   decryption after encryption check
11650 OK:   64   decryption after encryption check
11670 OK:   65   decryption after encryption check
11690 OK:   66   decryption after encryption check
11710 OK:   67   decryption after encryption check
11730 OK:   68   decryption after encryption check
11750 OK:   69   decryption after encryption check
11770 OK:   70   decryption after encryption check
11790 OK:   71   decryption after encryption check
11810 OK:   72   decryption after encryption check
11830 OK:   73   decryption after encryption check
11850 OK:   74   decryption after encryption check
11870 OK:   75   decryption after encryption check
11890 OK:   76   decryption after encryption check
11910 OK:   77   decryption after encryption check
11930 OK:   78   decryption after encryption check
11950 OK:   79   decryption after encryption check
11970 OK:   80   decryption after encryption check
11990 OK:   81   decryption after encryption check
12010 OK:   82   decryption after encryption check
12030 OK:   83   decryption after encryption check
12050 OK:   84   decryption after encryption check
12070 OK:   85   decryption after encryption check
12090 OK:   86   decryption after encryption check
12110 OK:   87   decryption after encryption check
12130 OK:   88   decryption after encryption check
12150 OK:   89   decryption after encryption check
12170 OK:   90   decryption after encryption check
12190 OK:   91   decryption after encryption check
12210 OK:   92   decryption after encryption check
12230 OK:   93   decryption after encryption check
12250 OK:   94   decryption after encryption check
12270 OK:   95   decryption after encryption check
12290 OK:   96   decryption after encryption check
12310 OK:   97   decryption after encryption check
12330 OK:   98   decryption after encryption check
12350 OK:   99   decryption after encryption check
12370 OK:  100   decryption after encryption check
12390 OK:  101   decryption after encryption check
12410 OK:  102   decryption after encryption check
12430 OK:  103   decryption after encryption check
12450 OK:  104   decryption after encryption check
12470 OK:  105   decryption after encryption check
12490 OK:  106   decryption after encryption check
12510 OK:  107   decryption after encryption check
12530 OK:  108   decryption after encryption check
12550 OK:  109   decryption after encryption check
12570 OK:  110   decryption after encryption check
12590 OK:  111   decryption after encryption check
12610 OK:  112   decryption after encryption check
12630 OK:  113   decryption after encryption check
12650 OK:  114   decryption after encryption check
12670 OK:  115   decryption after encryption check
12690 OK:  116   decryption after encryption check
12710 OK:  117   decryption after encryption check
12730 OK:  118   decryption after encryption check
12750 OK:  119   decryption after encryption check
12770 OK:  120   decryption after encryption check
12790 OK:  121   decryption after encryption check
12810 OK:  122   decryption after encryption check
12830 OK:  123   decryption after encryption check
12850 OK:  124   decryption after encryption check
12870 OK:  125   decryption after encryption check
12890 OK:  126   decryption after encryption check
12910 OK:  127   decryption after encryption check
12930 OK:    0   decryption after encryption check
12950 OK:    1   decryption after encryption check
12970 OK:    2   decryption after encryption check
12990 OK:    3   decryption after encryption check
13010 OK:    4   decryption after encryption check
13030 OK:    5   decryption after encryption check
13050 OK:    6   decryption after encryption check
13070 OK:    7   decryption after encryption check
13090 OK:    8   decryption after encryption check
13110 OK:    9   decryption after encryption check
13130 OK:   10   decryption after encryption check
13150 OK:   11   decryption after encryption check
13170 OK:   12   decryption after encryption check
13190 OK:   13   decryption after encryption check
13210 OK:   14   decryption after encryption check
13230 OK:   15   decryption after encryption check
13250 OK:   16   decryption after encryption check
13270 OK:   17   decryption after encryption check
13290 OK:   18   decryption after encryption check
13310 OK:   19   decryption after encryption check
13330 OK:   20   decryption after encryption check
13350 OK:   21   decryption after encryption check
13370 OK:   22   decryption after encryption check
13390 OK:   23   decryption after encryption check
13410 OK:   24   decryption after encryption check
13430 OK:   25   decryption after encryption check
13450 OK:   26   decryption after encryption check
13470 OK:   27   decryption after encryption check
13490 OK:   28   decryption after encryption check
13510 OK:   29   decryption after encryption check
13530 OK:   30   decryption after encryption check
13550 OK:   31   decryption after encryption check
13570 OK:   32   decryption after encryption check
13590 OK:   33   decryption after encryption check
13610 OK:   34   decryption after encryption check
13630 OK:   35   decryption after encryption check
13650 OK:   36   decryption after encryption check
13670 OK:   37   decryption after encryption check
13690 OK:   38   decryption after encryption check
13710 OK:   39   decryption after encryption check
13730 OK:   40   decryption after encryption check
13750 OK:   41   decryption after encryption check
13770 OK:   42   decryption after encryption check
13790 OK:   43   decryption after encryption check
13810 OK:   44   decryption after encryption check
13830 OK:   45   decryption after encryption check
13850 OK:   46   decryption after encryption check
13870 OK:   47   decryption after encryption check
13890 OK:   48   decryption after encryption check
13910 OK:   49   decryption after encryption check
13930 OK:   50   decryption after encryption check
13950 OK:   51   decryption after encryption check
13970 OK:   52   decryption after encryption check
13990 OK:   53   decryption after encryption check
14010 OK:   54   decryption after encryption check
14030 OK:   55   decryption after encryption check
14050 OK:   56   decryption after encryption check
14070 OK:   57   decryption after encryption check
